Serial No.,Stocks allowed for MIS,Margin allowed,,,Serial No.,Stocks which were allowed but temporarily banned,Reason
456,TCNSBRANDS,5X,,,,,
457,TCS,5X,,,,,
458,TEAMLEASE,5X,,,,,
459,TECHM,5X,,,,,
460,TECHNOE,5X,,,,,
461,THERMAX,5X,,,,,
462,THYROCARE,5X,,,,,
463,TIINDIA,5X,,,,,
464,TIMKEN,5X,,,,,
465,TITAN,5X,,,,,
466,TORNTPHARM,5X,,,,,
467,TORNTPOWER,5X,,,,,
468,TRENT,5X,,,,,
469,TTKPRESTIG,5X,,,,,
470,TV18BRDCST,5X,,,,,
471,TVSMOTOR,5X,,,,,
472,TVTODAY,5X,,,,,
473,UBL,5X,,,,,
474,UCOBANK,5X,,,,,
475,UFLEX,5X,,,,,
476,UJJIVAN,5X,,,,,
477,UJJIVANSFB,5X,,,,,
478,ULTRACEMCO,5X,,,,,
479,UNIONBANK,5X,,,,,
480,UPL,5X,,,,,
481,UTIAMC,5X,,,,,
482,VAKRANGEE,5X,,,,,
483,VALIANTORG,5X,,,,,
484,VARROC,5X,,,,,
485,VBL,5X,,,,,
486,VEDL,3X,,,,,
487,VENKEYS,5X,,,,,
488,VESUVIUS,5X,,,,,
489,VGUARD,5X,,,,,
490,VINATIORGA,5X,,,,,
491,VIPIND,5X,,,,,
492,VMART,5X,,,,,
493,VOLTAS,5X,,,,,
494,VRLLOG,5X,,,,,
495,VSTIND,5X,,,,,
496,VTL,5X,,,,,
497,WABCOINDIA,5X,,,,,
498,WELCORP,5X,,,,,
499,WELSPUNIND,5X,,,,,
500,WESTLIFE,5X,,,,,
501,WHIRLPOOL,5X,,,,,
502,WIPRO,5X,,,,,
503,WOCKPHARMA,3X,,,,,
504,YESBANK,5X,,,,,
505,ZEEL,5X,,,,,
506,ZENSARTECH,5X,,,,,
507,ZYDUSWELL,5X,,,,,
508,NAT.PEROXIDE,5X,,,,,
509,NIRLON,5X,,,,,
510,BENGLA& ASM,5X,,,,,
511,DIXON,5X,,,,,
512,GLS,5X,,,,,
513,ROLEXRINGS,5X,,,,,
514,DEVYANI,5X,,,,,
515,KRSNAA,5X,,,,,
516,WINDLAS,5X,,,,,
517,ZOMATO,5X,,,,,
518,TATVA,5X,,,,,
519,NUVOCO,5X,,,,,
520,CHEMPLASTS,5X,,,,,
521,APTUS,5X,,,,,
522,VIJAYA,5X,,,,,
